Survey Item Category,Survey Item,Response
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,Sunday operating hours would be an improvement
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,Some days or holiday weekends when school is out I wish it was open for family activities.
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,"I have been at MYEC for various occasions and various days and hours. I have always  felt safe and enjoyed the activities.  My friends and I have been to the movies, meeting  and many parties and celebrations."
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,I didn’t realize they were closed on Sundays.  We had to change our banquet day and time.
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,It’s a vital part of the community and a loss would be very disappointing and increase inequality in this part of the city!
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,"I am a senior citizen therefore not using the center on a continuing basis, however, we have had family reunions there and it is an ideal place because of the activities, etc."
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,"Its not open during the hours Teens, young adults, or parents wanting to hang out with children would want to be there"
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,"I wish it was open every day, but understand there may not be enough traffic to justify the operation cost.  Sometimes special events have pushed us out, but it's not a big deal."
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,Why not open the center on Sundays?
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,See #5
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,"Our family has frequented MYEC for the last decade often.  Our kids had birthday parties there,  we had family outings together,  and as the kids got older,  they went as teenagers.  We love MYEC"
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,Strongly dislike the facility being rented out to a private group (usually with no/limited community notice) at the expense of the public.
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,"When reserved, wonderful"
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,I think the hours of operation should be longer.
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,"I would like to see the MYEC opened during after school hours with city-funded programs, free to the community, focused on mindfulness like yoga, meditation, Zumba  and skating exercises."
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,"I’ve lived here 12 years and always wanted to check out the center. Finally went when there was early voting. I think it’s a great idea and I hope you all keep it. I just think it needs better marketing. I bet a lot of adults would enjoy special roller skating events there (90s night, etc)"
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,Never heard of this facility.
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,More marketing to remind groups & organiztions if it’s potential.
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,"Hours of operation should be extended during children's breaks (e.g., Spring break, winter break) from school."
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,This is such an important part of the community; please always fund it.
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,"Sundays should be included in hours of operation. Hours after midnight would be a nice experiment, especially for adult step and roll."
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,A safe and varied alternative to the streets and other negative influences in the community.
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,Please keep it open. It is needed.
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,"We have scheduled an Event at the same time every year about 4-5 years. However, trying to schedule this same event for 2020 has been ""very"" challenging. I do not feel that Management has worked with us as well as previous years. I've made several phone calls and been to Facility twice and my event is ""still"" not scheduled. Waiting for manager to approve the ""Contract"", that I haven't even seen yet....Help!!!"
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,They need additional funding to be able to be open with regular hours. I understand it is only open during prescribed times based on activities.
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,MYEC seems like it is always closed every time we want to patronize facility.
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,"I would like for the facility to be open to the public more often during birthday party times. Also, I really don't like the metal detector at the front. That's scary for my kids."
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,The operating hours confuses me
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,Later hrs. Open holidays. Ii
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,advertise more
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,I only used the facility for an event so I don’t know about your regular activities. My birthday party was awesome there and the staff was really great!
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,They could be open more during out of school time.
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,"As a city-owned facility, it is absolutely unacceptable the amount of waste produced at this facility. We have had multiple city events at MYEC and the fact that there is so much styrofoam being used and no options anywhere for recycling does not meet the city's goals. This has been reported repeatedly to the Sustainability Office, but as far as I can tell, they know about the problem, but have not fixed it."
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,"I'd love for it to be open more! And available for community meetings, etc."
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,"I understand with City that things aren't going to be as nice as a privately owned place, but that is a shame.  I really want to be able to use this facility for my kids."
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,It needs to be used more.  Share space with a nonprofit
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,Weekend hours of operation for the movie need to be addressed.
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,Maybe open after church
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,They are not open during the week
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,"Closed on Juneteenth... of all days!! Could celebrate more African American and afro-centric positive cultural experiences. Engage local educators, partner with HTU, introduce young children to technology, math and engineering; partner with Google in technology designed by African Americans; partner with Rosewood Park for joint programming."
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,A summer camp would be beneficial for MYEC
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,Feels like it is often closed during holidays and weekend hours are not great. I know that it's a city facility but those times I think are critical to kiddos. We need to give more options during the times when school is not open/in session.
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,I have gone by on several occasions and it is closed.  Youth need activities every day.
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,I feel you are doing a adequate job.
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,Open later and more often
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,"We love this place! Our kids love it! please don't get rid of it just cause you're so greedy!! please just once, don't make the community only for rich white people!"
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,"Since I have no youth, the days and hours of the MYEC appear to be fine...it's usually open when I've needed to stop in."
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,"Over the years, I  think the center good have done a better job of advertising. Besides the occasional city/ political mtings, I rarely see information about day to day activities  hours. etc"
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,"Wish it were open on Sundays and more holidays, that's when families need it most."
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,Skate rink needs to be open more often
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,"I am an event promoter of various activities. For me, to lease is a bit pricey especially for the community it serves."
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,"Open on Sundays for NH Church Services, invite businesses, schools, community etc. collect donation for free services events time"
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,Seems to always be closed alot. Adding more days could increase the use and also in need of some upgrades
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,The facility needs to be open more hours and offer more opportunity to the community to rent space and use as a public benefit.
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,It would be good if they had a better social media presence and had events that involved the kids more.
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,They use to be opened in Sunday’s . This was very beneficial to the Church’s in the area. Because we could plan fun activities for our youth after service. The children really enjoyed the center.
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,Need to open everyday
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,Needs  to be open more hours
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,To many times the facility is closed for things that don’t meet the need the kids and more events are held there that don’t have anything to do with east Austin youth
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,We’ve taken our son to the arcade a few times and it seems like most of the games are often broken.
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,Days and hours have met my needs.
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,My young granddaughter has been to MYEC several times. Her parents feel that she has had great experiences there.
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,The location  is excellent for the community.  Adequate and trained staffing is vital for the success of the center..
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,I wish they were open more often. We have gone and it has been closed.
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,It seems to be closed so frequently. Also wish it had Sunday hours. Also really miss the movie theater.
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,Cost very affordable. City needs to stop spoiling people by giving everything free.
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,"It seems that once gentrification begin in predominantly black neighborhoods, the millennium did too"
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,"Teens need safe, fun spaces every day of the week.  Again, the venue seems more corporate than caring."
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,"The last time I was there, the center was only open on the weekends."
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,Private parties on Friday's often interfere with family skating.
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,"Confusing. Would love to know why it's not more frequently, unless this has changed."
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,I thought the hours used to be longer than they are now but I could be wrong.
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,"Staff helped me with a birthday party, host was very attentive, polite, and we enjoyed her."
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,Open 3 or 4 days a week make it not very accessible.
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,"Needs to be open at stable, dependable hours with adequate, knowledgeable staff. During hours of operation phones lines, front desk, customer service, etc. need to be fully staffed."
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,"hadn't been there in some time, not sure of the current operational hours"
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,I think if the MYEC had additional hours other than the weekends
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,"I think it needs to be open more, especially during the summer."
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,The last time I went to the MYEC your food court was know as The Catina. What kind of name is that for a youth center.
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,9am -9pm Sat and Sundays
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,Don't know the hours
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,"Would be great if the activities and hours were promoted more. Like on Nextdoor or platforms. I went to vote and really liked the place, but have never heard of activities."
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,On the weekend is when the faculty is needed the most for the youth but it's always booked for  private events
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,"The hours do not seem to represent or take into account the AISD school schedule.  It appeared closed during long stretches of the summer, spring and winter breaks."
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,"This has been at least a few years at this point, but they were closed a couple days a week when I was trying to plan my child’s birthday party."
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,It should be open on sundays
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,extended holiday hours during non-school days and after school programs
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,It should be open 7 days a week.
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,"I believe the MYEC is a hidden gem in Austin and the only reason it may not meet needs is that it is not sought out as a place that could meet needs.  It is well run, well priced and the event options are limitless.  We should be thankful to have such an amazing facility in our City and use it every chance we get."
Customer Service,Please provide any feedback you may have about the MYEC staff.,Love the sweet staff/ esp Mrs. Shirley!
Customer Service,Please provide any feedback you may have about the MYEC staff.,Very professional and helpful
Customer Service,Please provide any feedback you may have about the MYEC staff.,"As I say, it has been many years since I tried to use the facility for my programs. At the time, the staff responses ranged from reasonably friendly to bored and indifferent."
Customer Service,Please provide any feedback you may have about the MYEC staff.,"I have been connected to the MYEC facility for more than 10 Years. Balls, Voter Registration, Meetings. All have exceeded expectations."
Customer Service,Please provide any feedback you may have about the MYEC staff.,It's been too long for me to comment
Customer Service,Please provide any feedback you may have about the MYEC staff.,Always very helpful
Customer Service,Please provide any feedback you may have about the MYEC staff.,Staff are always friendly in my experience!
Customer Service,Please provide any feedback you may have about the MYEC staff.,"I find staff to be overprotective, rude, old and outdated, and not friendly."
Customer Service,Please provide any feedback you may have about the MYEC staff.,They are hard working and very respectful.
Customer Service,Please provide any feedback you may have about the MYEC staff.,Staff is fine but it has strange hours we never know when it’s open so we assume it’s closed and don’t go...
Customer Service,Please provide any feedback you may have about the MYEC staff.,I have work with the staff and felt welcomed and a  part of a family .
Customer Service,Please provide any feedback you may have about the MYEC staff.,Hire Youths and Adults and help them with leadership and mentor skills.
Customer Service,Please provide any feedback you may have about the MYEC staff.,I have not had enough interaction with any staff to give any meaningful feedback.
Customer Service,Please provide any feedback you may have about the MYEC staff.,I took my three grandchildren two summers ago and the staff were very helpful.
Customer Service,Please provide any feedback you may have about the MYEC staff.,I have ha a birthday hostess at the MYEC 2 or 3 times. I think her name is Cheryl    She's FANTASTIC!!!!!!!🥰😍🤩
Customer Service,Please provide any feedback you may have about the MYEC staff.,"Gwen Miles is always responsive, and provides knowledge and support, when booking events."
Customer Service,Please provide any feedback you may have about the MYEC staff.,Thank you
Customer Service,Please provide any feedback you may have about the MYEC staff.,they are always looking out for our children's saftey and very respectful and very kind to every race.
Customer Service,Please provide any feedback you may have about the MYEC staff.,I have really enjoyed your facility and staff
Customer Service,Please provide any feedback you may have about the MYEC staff.,Some staff may need customer service training.
Customer Service,Please provide any feedback you may have about the MYEC staff.,Good staff
Customer Service,Please provide any feedback you may have about the MYEC staff.,I have taken my kids here for years and continue to see the same friendly workers. It makes us feel comfortable and welcomed.
Customer Service,Please provide any feedback you may have about the MYEC staff.,"I have not interacted much with them, but they seem friendly"
Customer Service,Please provide any feedback you may have about the MYEC staff.,Haven’t been there in quite a while
Customer Service,Please provide any feedback you may have about the MYEC staff.,"They always round up tickets for prizes from the ""games"". I don't think they'd turn a kid away from getting a little something!"
Customer Service,Please provide any feedback you may have about the MYEC staff.,just ok - not creative or visionary
Customer Service,Please provide any feedback you may have about the MYEC staff.,"I would like to comment on the efficiency of the staff operations and customer service.  You can be friendly and inefficient.  They are very knowledgeable and go above and beyond to serve the community events and maintain the operations of the bowling, skating, arcade and two food courts that I have utilized over the years for events."
Customer Service,Please provide any feedback you may have about the MYEC staff.,They are helpful and friendly.
Customer Service,Please provide any feedback you may have about the MYEC staff.,They pay attention to ensure the children do not leave with strangers.  Answer questions when needed.
Customer Service,Please provide any feedback you may have about the MYEC staff.,They are generally friendly.  Additional training may be helpful as well as additional staff.
Customer Service,Please provide any feedback you may have about the MYEC staff.,"Based on an incident involving no record of a booked reservation for a church youth group outing, it seemed that the staff members on duty did not know exactly how to handle the situation. This experience resulted in the church deciding not to use the facility for any future activities."
Customer Service,Please provide any feedback you may have about the MYEC staff.,Staff is customer oriented and very friendly.
Customer Service,Please provide any feedback you may have about the MYEC staff.,They are not ethical & they do not have the spirit to serve the community.
Customer Service,Please provide any feedback you may have about the MYEC staff.,The staff is friendly and helpful.
Customer Service,Please provide any feedback you may have about the MYEC staff.,None at this time.
Customer Service,Please provide any feedback you may have about the MYEC staff.,"Staff is unprofessional. Large events and bdays; staff are unorganized. The arcade is ran separately, and they are really unprofessional. Can they get some new games THAT WORK!!!"
Customer Service,Please provide any feedback you may have about the MYEC staff.,Pleasant  and very accommodating
Customer Service,Please provide any feedback you may have about the MYEC staff.,The staff knows most of the people who visit frequently if not by name but by recognition.  Thier very cordial.
Customer Service,Please provide any feedback you may have about the MYEC staff.,"Staff provided security, meals, space arrangement and other services to met the needs of our organization training space."
Customer Service,Please provide any feedback you may have about the MYEC staff.,"I'm not active on social media, so if I'm curious I'd check online if not been told by word of mouth. Please keep the website up to date for those of us not on Twitter, FB, IG, etc."
Customer Service,Please provide any feedback you may have about the MYEC staff.,They are very professional!!!
Customer Service,Please provide any feedback you may have about the MYEC staff.,Excellent assistance  in planning events
Customer Service,Please provide any feedback you may have about the MYEC staff.,"The staff is always courteous, helpful and supportive to the me and my family every time we come to the MYEC."
Customer Service,Please provide any feedback you may have about the MYEC staff.,"Just there for a check, not for the kids"
Customer Service,Please provide any feedback you may have about the MYEC staff.,The coordinator of our banquet was very accommodating to the needs of our reunion.
Customer Service,Please provide any feedback you may have about the MYEC staff.,The only thing I can say is the hours and days should be advertised more and you cannot always get information.
Customer Service,Please provide any feedback you may have about the MYEC staff.,"Sometimes staff are challenging to find when you need them.  When we have interacted with them though, they have been friendly and helpful.  Again, this is probably a result of traffic maybe not justifying additional operating costs."
Customer Service,Please provide any feedback you may have about the MYEC staff.,Very friendly but not very organized
Customer Service,Please provide any feedback you may have about the MYEC staff.,"The last time I visited was for my daughters birthday party. I scheduled a tour of the facility, booked the venue, & sent out the invitations. The day of the event the MYEC was closed. I had guest coming. I was mortified. I’ve never been back."
Customer Service,Please provide any feedback you may have about the MYEC staff.,"Excellent, helpful group"
Customer Service,Please provide any feedback you may have about the MYEC staff.,"My experience was as a presenter of a concert there. The staff, particularly Gwen, was friendly, professional and efficient."
Customer Service,Please provide any feedback you may have about the MYEC staff.,Very professional
Customer Service,Please provide any feedback you may have about the MYEC staff.,"Professional, knowledgeable, kind, caring, helpful, very friendly"
Customer Service,Please provide any feedback you may have about the MYEC staff.,"They saved our extended family gathering one 107-degree July weekend.  For that, and their kindness, we will be forever grateful."
Customer Service,Please provide any feedback you may have about the MYEC staff.,"One of the ladies at the front ticket booth was constantly rude to people, even after they paid or made reservations."
Customer Service,Please provide any feedback you may have about the MYEC staff.,"The MYEC staff are friendly, caring and down to earth folks!"
Customer Service,Please provide any feedback you may have about the MYEC staff.,I had to work with the staff to attempt to coordinate a large celebration. The staff was friendly but we couldn't make the deal happen.
Customer Service,Please provide any feedback you may have about the MYEC staff.,The members of the team are very dedicated to providing legendary customer service (Shirley Terry has assisted on a number of occasions)
Customer Service,Please provide any feedback you may have about the MYEC staff.,Don’t have anything to provide since I have never been there
Customer Service,Please provide any feedback you may have about the MYEC staff.,Manager has not been as easy to work with as in previous years.
Customer Service,Please provide any feedback you may have about the MYEC staff.,Wonderful staff! Helpful staff!
Customer Service,Please provide any feedback you may have about the MYEC staff.,Remember that you are there to serve the community
Customer Service,Please provide any feedback you may have about the MYEC staff.,"Most of the staff are very friendly to my children, but some of the younger staff, particularly in the skating area, are not always friendly. There are lots of kids to serve, so I understand it's stressful sometimes. I would like to see young people serving kids who really love children and teens, and who are able to be friendly even when there's lots of kids and noise."
Customer Service,Please provide any feedback you may have about the MYEC staff.,Very very friendly and accommodating
Customer Service,Please provide any feedback you may have about the MYEC staff.,"went to a birthday party and during the skating part, this older woman rudely was asking the lations to get off the wall inside the ring, as they were cooling off in front of the fan, but never did she ask any African ameriancas to move. she carried an attitude with her and her face wasn't very friendly either."
Customer Service,Please provide any feedback you may have about the MYEC staff.,Staff i have dealt with always friendly. Love Vanessa.
Customer Service,Please provide any feedback you may have about the MYEC staff.,They have always been great to us.
Customer Service,Please provide any feedback you may have about the MYEC staff.,They try to be friendly but seem to have a lot of duties and are pulled thin.
Customer Service,Please provide any feedback you may have about the MYEC staff.,"Have always found staff to be friendly, helpful, willing to work with the needs of the organization."
Customer Service,Please provide any feedback you may have about the MYEC staff.,You already know.
Customer Service,Please provide any feedback you may have about the MYEC staff.,Terry was AWESOME.
Customer Service,Please provide any feedback you may have about the MYEC staff.,They do not engage with the patrons. They don't check and see if things are going okay
Customer Service,Please provide any feedback you may have about the MYEC staff.,Excellent staff! They were friendly and very accommodating for my dad’s centennial celebration!
Customer Service,Please provide any feedback you may have about the MYEC staff.,Every encounter with Staff that I have had has been great and professional!
Customer Service,Please provide any feedback you may have about the MYEC staff.,It is hard to get a call back when you leave a message.
Customer Service,Please provide any feedback you may have about the MYEC staff.,Never had any problems.  The staff did their job and were friendly.
Customer Service,Please provide any feedback you may have about the MYEC staff.,I'm always greeted with a Texas-size smile and how are you today! Very helpful and willing to assist.
Customer Service,Please provide any feedback you may have about the MYEC staff.,Thank you for all your hard work!
Customer Service,Please provide any feedback you may have about the MYEC staff.,Awesome staff. People from the community who know us
Customer Service,Please provide any feedback you may have about the MYEC staff.,They are great!!
Customer Service,Please provide any feedback you may have about the MYEC staff.,ALL of the staff have been VERY friendly.
Customer Service,Please provide any feedback you may have about the MYEC staff.,I haven't been in a long time but last time we went the staff was cordial and helpful.
Customer Service,Please provide any feedback you may have about the MYEC staff.,GREAT and FRIENDLY
Customer Service,Please provide any feedback you may have about the MYEC staff.,"The event I attended, I can not 100% say it was MYEC Staff. If it was than yes, very friendly."
Customer Service,Please provide any feedback you may have about the MYEC staff.,Staff are at best present. Most of the time they are very rude. They do not follow any obvious standard operating procedures. Often staff do not know what is going on.
Customer Service,Please provide any feedback you may have about the MYEC staff.,Everyone was super helpful! We really appreciate everyone going above and beyond to make the party rental space outstanding.
Customer Service,Please provide any feedback you may have about the MYEC staff.,Renee and shirley are nice.
Customer Service,Please provide any feedback you may have about the MYEC staff.,They are hospitable
Customer Service,Please provide any feedback you may have about the MYEC staff.,I have had bad experiences with hostility and total lack of interest from employees. They just don’t seem to give a crap.
Customer Service,Please provide any feedback you may have about the MYEC staff.,Good to see
Customer Service,Please provide any feedback you may have about the MYEC staff.,Have not had a lot of interaction with staff.
Customer Service,Please provide any feedback you may have about the MYEC staff.,"The staff recognizes regulars and treat everyone with dignity and respect. Also, there are a few of the staff that have work there since the opening. They are friendly."
Customer Service,Please provide any feedback you may have about the MYEC staff.,Went to a birthday party there and the staff was pretty bossy to the kids.
Customer Service,Please provide any feedback you may have about the MYEC staff.,Need to hire people that know how to work and communicate with all races. It’s not just an East austin facility it’s a city of austin for all its citizens.
Customer Service,Please provide any feedback you may have about the MYEC staff.,Youth would be better served if the staff was screened for background issues and trained in youth development.
Customer Service,Please provide any feedback you may have about the MYEC staff.,"The last time I was there it seemed to be a little short on staff, but the staff was friendly, just stretched thin."
Customer Service,Please provide any feedback you may have about the MYEC staff.,We've only been for birthday parties in the am.    It was great!
Customer Service,Please provide any feedback you may have about the MYEC staff.,Very Professional and well trained.
Customer Service,Please provide any feedback you may have about the MYEC staff.,Staff could be more polite.
Customer Service,Please provide any feedback you may have about the MYEC staff.,The staff is professional.
Customer Service,Please provide any feedback you may have about the MYEC staff.,known to be rude and unwelcoming
Customer Service,Please provide any feedback you may have about the MYEC staff.,Depends. When we've attended bdays the party helpers are usually great. Sometimes arcade attendant isn't as helpful or friendly.
Customer Service,Please provide any feedback you may have about the MYEC staff.,Extremely friendly and some have been employed there for a very long time :)
Customer Service,Please provide any feedback you may have about the MYEC staff.,"I have had both experiences at MYEC with very helpful, polite staff; as well as individuals whom did not seem to know anything about facility operations, or want to be there."
Customer Service,Please provide any feedback you may have about the MYEC staff.,last time o was there they were very friendly and supportive
Customer Service,Please provide any feedback you may have about the MYEC staff.,"MYEC staff has changed over the years, but they have always been helpful, kind and respectful"
Customer Service,Please provide any feedback you may have about the MYEC staff.,My experiance is I'm judged by the color of my skin. So sad.
Customer Service,Please provide any feedback you may have about the MYEC staff.,Do not greet you
Customer Service,Please provide any feedback you may have about the MYEC staff.,Somewhat friendly
Customer Service,Please provide any feedback you may have about the MYEC staff.,I have no feedback
Customer Service,Please provide any feedback you may have about the MYEC staff.,They where nice.
Customer Service,Please provide any feedback you may have about the MYEC staff.,It is an underutilized waste of taxpayer money.  It has potential to be a much better community asset.
Customer Service,Please provide any feedback you may have about the MYEC staff.,The staff is what makes the MYEC so amazing ! They go above and beyond.
Customer Service,Please provide any feedback you may have about the MYEC staff.,I would love it if you had a newsletter to keep the community informed about what events were happening.
Customer Service,Please provide any feedback you may have about the MYEC staff.,"The staff at the time that I attended a party and had my daughter’s birthday party was unprofessional, not engaged and not customer service oriented. In person and over the phone. I have tried to give this place a chance to support a community that looks like me, but I can’t deal with rude and unprofessional people where I’m spending my dollars."
Customer Service,Please provide any feedback you may have about the MYEC staff.,Staff is helpful.
Customer Service,Please provide any feedback you may have about the MYEC staff.,"When visiting, they are scarcely found."
Customer Service,Please provide any feedback you may have about the MYEC staff.,Impatient with questions.
Customer Service,Please provide any feedback you may have about the MYEC staff.,The staff is helpful and accommodating.  They have gone above and beyond to make my events there amazing.
General,What areas of the MYEC need to be (can be) enhanced or  improved?,"Survey. If ""never visited"" is chosen, should automatically end survey."
General,What areas of the MYEC need to be (can be) enhanced or  improved?,Do not visit enough to answer.
General,What areas of the MYEC need to be (can be) enhanced or  improved?,"Definitely the theater; they are also in dire need of NEWER and working arcade games!  Why is it that places EAST of IH-35, appear to receive extremely poor quality items and very little attention!"
General,What areas of the MYEC need to be (can be) enhanced or  improved?,"The ATM is often not functioning and the vendor who is supposed to service it consistently fails to do so.  My strong recommendation would be to find a different, more reliable company to provide ATM services."
General,What areas of the MYEC need to be (can be) enhanced or  improved?,Hosting more youth events
General,What areas of the MYEC need to be (can be) enhanced or  improved?,Updating it to feel more modern and to show some love to the East side.
General,What areas of the MYEC need to be (can be) enhanced or  improved?,Rental fees are not reasonable compared to area. Hotels in the area have rental for 4hr to all day. same price per 2 hr. slot Millennium charges.
General,What areas of the MYEC need to be (can be) enhanced or  improved?,I attended a special film event years ago but I don’t have children so I don’t know that much about the MYEC
General,What areas of the MYEC need to be (can be) enhanced or  improved?,Community engagement and outreach opportunities/ Partnerships
General,What areas of the MYEC need to be (can be) enhanced or  improved?,"If  you haven't done so already, put people in charge who actually care about serving the community. Sorry if I sound upset, but several of us made multiple attempts to use the facility for community programs, and we decided it was not worth the effort."
General,What areas of the MYEC need to be (can be) enhanced or  improved?,"Frankly, I’ve not been to the MYEC in many years, probably 10 years, which is when I worked in East Austin. I do believe that having that facility with so many activities available to the community is DEFINITELY a positive and much-needed resource for the youth living in the area. I hope it continues to be supported and maintained because our kids deserve to have a place where they can have safe activities which promote physical and emotional well-being. Thanks for reaching out!"
General,What areas of the MYEC need to be (can be) enhanced or  improved?,Arcade outdated.
General,What areas of the MYEC need to be (can be) enhanced or  improved?,Affordable family reunion prices
General,What areas of the MYEC need to be (can be) enhanced or  improved?,I don't know much about the center having only been there once years ago. But I do know you need to keep it open and make it a safe and happy place for kids of color in Austin as the rest of the city gentrifies around them.
General,What areas of the MYEC need to be (can be) enhanced or  improved?,I have no attended any of the events.
General,What areas of the MYEC need to be (can be) enhanced or  improved?,Cleaning and upkeep
General,What areas of the MYEC need to be (can be) enhanced or  improved?,"I don’t have kids and I am not a young person so this survey is truly not for me. That said, I still feel the MYEC is an important part of the community and fills a very important role. This survey does not have space for people to express that, however. And, to whomever is reading and sorting this data, keep on keeping on... I do survey research for my job and know how tedious this is so much love to you."
General,What areas of the MYEC need to be (can be) enhanced or  improved?,Nothing that I can think of
General,What areas of the MYEC need to be (can be) enhanced or  improved?,improved strategic marketing and outreach
General,What areas of the MYEC need to be (can be) enhanced or  improved?,More publicity?
General,What areas of the MYEC need to be (can be) enhanced or  improved?,The facility is poorly managed and staff is generally unfriendly.
